run_at_utc,metric_type,object_name,metric_value,status,details
2026-03-17T21:30:54Z,parse_mode_entities,protobuf,522,ok,Rows in alerts/parsed/service_alert_entities.csv
2026-03-17T21:30:54Z,parse_mode_snapshots,protobuf,3,ok,Snapshots in alerts/parsed/parse_manifest.csv
2026-03-17T21:30:54Z,row_count_final,bronze_gtfsrt_entities,522,ok,Post refresh count in DuckDB
2026-03-17T21:30:54Z,row_count_final,silver_gtfsrt_alert_entities,522,ok,Post refresh count in DuckDB
2026-03-17T21:30:54Z,row_count_final,fact_gtfsrt_alerts_norm,522,ok,Post refresh count in DuckDB
2026-03-17T21:30:54Z,row_count_final,gold_alert_validation,522,ok,Post refresh count in DuckDB
2026-03-17T21:30:54Z,selector_presence,parsed_route_id_rows,522,ok,Parsed rows with non-empty route_id
2026-03-17T21:30:54Z,selector_presence,parsed_stop_id_rows,39,ok,Parsed rows with non-empty stop_id
2026-03-17T21:30:54Z,selector_presence,silver_route_id_rows,522,ok,Silver rows with non-null route_id_gtfs
2026-03-17T21:30:54Z,selector_presence,silver_stop_id_rows,39,ok,Silver rows with non-null stop_id_gtfs
2026-03-17T21:30:54Z,selector_presence,decoded_route_id_present,true,ok,Decoded route selectors are present after parser refresh
2026-03-17T21:30:54Z,selector_presence,decoded_stop_id_present,true,ok,Decoded stop selectors are present after parser refresh
